society_id,society_name,ethnic_group,region,chapter,subsistence_type,institution_type,documentation_quality,source_ethnographers,source_book,EA072_clubs_associations,dplace_matched,notes,C01_transformation_symbolism,C01_transformation_symbolism_numeric,C01_transformation_symbolism_evidence,C02_feasting,C02_feasting_numeric,C02_feasting_evidence,C03_exotic_prestige_materials,C03_exotic_prestige_materials_numeric,C03_exotic_prestige_materials_evidence,C04_spatial_liminality,C04_spatial_liminality_numeric,C04_spatial_liminality_evidence,C05_long_duration_institutional,C05_long_duration_institutional_numeric,C05_long_duration_institutional_evidence,C06_burial_absence,C06_burial_absence_numeric,C06_burial_absence_evidence,C07_special_structure,C07_special_structure_numeric,C07_special_structure_evidence,C08_remote_locations,C08_remote_locations_numeric,C08_remote_locations_evidence,C09_ritual_paraphernalia_cache,C09_ritual_paraphernalia_cache_numeric,C09_ritual_paraphernalia_cache_evidence,C10_power_animal_iconography,C10_power_animal_iconography_numeric,C10_power_animal_iconography_evidence,C11_interaction_sphere,C11_interaction_sphere_numeric,C11_interaction_sphere_evidence,criteria_met
H18_001,Hamatsa (Cannibal) Society,Kwakwakawakw,American Northwest Coast,2,complex hunter-gatherer,secret society,rich,"Boas, Drucker, Spradley, Kane",Hayden 2018,,False,"Elite cannibalistic secret society with possession dances, initiation fees of thousands of blankets, and enforcement through terror and violence.",present,2,"Masks, costumes, dances used to assume spirit roles; initiates said to die and return transformed",present,2,Numerous nightly feasts during ritual season; grandiose potlatch feasts at sons' initiations described as greatest of career,present,2,"Initiation costs included thousands of blankets, shells, copper, pelts, masks, bracelets, decorated boxes",partial,1,Special meeting places 150-400m outside villages; caves used for seclusion and ritual storage,present,2,"Hereditary roles, yearly winter ritual season, twelve years to reach third level of Cannibal society",unclear,-1,Limited burial information; shamans reportedly buried in caves but secret society member burials not clearly distinguished,partial,1,Community houses appropriated and rearranged for ceremonies; no purpose-built structures reported at remote locations,present,2,"Initiates taken to secluded locations outside villages; caves used for seclusion, meetings, and ritual storage",present,2,Ritual paraphernalia stored in faraway locations including rock shelters and caves; secrets enforced by death,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters (sisiutl) emphasized as power sources",present,2,"Northwest Coast Interaction Sphere; shared art styles, ritual objects, ceremonies across Kwakwakawakw, Salish, Nuuchahnulth, Tlingit, Bella Coola, Tsimshian",10
H18_002,Wolf Society (Klukwalle/Lokoala),Nuuchahnulth,American Northwest Coast,2,complex hunter-gatherer,secret society,rich,"Boas, Ernst, Drucker",Hayden 2018,,False,"Society for wealthy individuals and chiefs with spirit possession, masked performances, and enforcement through killing those who revealed secrets.",present,2,Masks and costumes used to personify guardian spirits; initiates said to die and return transformed as spirits.,present,2,Numerous feasts nightly during ritual season; initiation feasts described as greatest potlatch of a man's career.,present,2,"Quartz crystals, cowrie shells, copper nails, rare pelts, decorated boxes among initiation wealth and ritual paraphernalia.",partial,1,Meeting places 150-400m outside villages; caves used for seclusion/storage; no structures built at remote locations.,present,2,Hereditary roles tied to descent groups; ancestral spirit powers passed to descendants across generations.,unclear,-1,Limited burial information; shamans reportedly buried in caves but connection to secret society members uncertain.,partial,1,Residential longhouses appropriated and rearranged for ceremonies; no purpose-built ceremonial structures reported.,present,2,"Candidates secluded outside villages; caves used for seclusion, meetings, ritual storage at varying distances.",present,2,Ritual paraphernalia stored in faraway locations including rock shelters and caves; secrets kept from non-initiates.,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters (sisiutl) as power animals in iconography.",present,2,"Northwest Coast Interaction Sphere documented; shared art styles, ritual objects, ceremonies across ethnic groups regionally.",10
H18_003,Sisauk Society,Bella Coola,American Northwest Coast,2,complex hunter-gatherer,secret society,rich,"McIlwraith, Barker, Cole",Hayden 2018,,False,"Exclusive society of chiefs claiming supernatural connections, with staged miraculous displays and control over territory through ancestral power validation.",present,2,"Masks, costumes used to assume spirit roles; initiates said to die and return transformed; possession by ancestral spirits via masks/dancing.",present,2,Nightly feasts during winter ceremonial season; grandiose feasts at initiations described as greatest potlatch of a man's career.,present,2,"Quartz crystals, cowrie shells, copper nails, rare stones, decorated boxes, pelts used as ritual paraphernalia, not domestic contexts.",present,2,"Special meeting places 150-400 meters outside villages; caves used for seclusion, meetings, ritual storage; liminal village/forest boundary sites.",present,2,Hereditary roles tied to descent groups; chiefly offices linked to Sisauk Society membership; multi-generational transmission of spirit powers.,unclear,-1,Burial information very limited; shamans buried in caves but unclear if secret society members; no clear separation confirmed.,partial,1,Ceremonies held in appropriated residential houses rearranged and cordoned off; no purpose-built structures reported at remote locations.,present,2,"Candidates taken to secluded locations outside villages for seclusion; caves used for meetings, seclusion, and ritual storage.",present,2,Ritual paraphernalia stored in 'faraway' locations including rock shelters and caves; masks/costumes kept secret from non-initiates.,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters (sisiutl) emphasized as power animals; therianthropic imagery prominent.",present,2,"Northwest Coast Interaction Sphere explicitly named; shared art styles, ritual objects, ceremonies across ethnic groups; members from neighboring villages welcomed.",10
H18_004,Kusiut Society,Bella Coola,American Northwest Coast,2,complex hunter-gatherer,secret society,rich,McIlwraith,Hayden 2018,,False,"Secret society with marshalship roles, stage magic demonstrations, calendar specialists, and recruitment of sorcerers for supernatural killing.",present,2,"Masks, costumes worn to personify guardian spirits; initiates said to die and return as spirits; transformation central to rituals.",present,2,"Numerous feasts associated with initiations, nightly feasts during ritual season; greatest potlatch of a man's career at son's initiation.",present,2,"Quartz crystals, cowrie shells, copper nails, rare pelts, decorated boxes among initiation wealth items used in ritual contexts.",partial,1,Special meeting places 150-400m outside villages; caves used for seclusion and ritual storage; no structures built at these locations.,present,2,Hereditary roles linked to descent groups; chiefly offices tied to high-ranked societies; multi-generational transmission of dances and positions.,unclear,-1,"Limited burial information; shamans reportedly buried in caves, but unclear if these were secret society members; burial poles mentioned.",partial,1,Ceremonies held in appropriated community houses rearranged and cordoned off; no purpose-built ceremonial structures reported outside villages.,present,2,"Candidates secluded outside villages; caves used for seclusion, meetings, ritual storage; special meeting places 150-400m from villages.",present,2,Ritual paraphernalia stored in 'faraway' locations including rock shelters and caves; secrets kept from non-initiates under penalty of death.,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters (sisiutl) emphasized as power sources; bear head used in Bella Coola rituals.",present,2,"Northwest Coast Interaction Sphere explicitly named; shared art styles, masks, rituals across ethnic groups; visitors welcomed at ceremonies; regional secret society interventions noted.",10
H18_005,Fire Thrower and Destroyer Societies,Tsimshian,American Northwest Coast,2,complex hunter-gatherer,secret society,moderate,"Halpin, Garfield, Wingert",Hayden 2018,,False,"Exclusive elite societies with destructive possession dances, costly initiations, and hereditary leadership positions with enforcement through killing.",present,2,"Masks, costumes used to assume spirit roles; initiates said to die and return transformed; possession by ancestral spirits.",present,2,Numerous feasts on nightly basis during ritual season; grandiose feasts at sons' initiations described as greatest potlatch of career.,present,2,"Quartz crystals, cowrie shells, copper nails, exotic pelts, decorated boxes among initiation wealth items used ritually.",partial,1,Special meeting places 150-400 meters outside villages; caves used for seclusion and storage; no structures built at remote locations.,present,2,Hereditary roles tied to descent groups; chiefly offices linked to secret societies; multi-generational transmission of spirit powers.,unclear,-1,Burials of high-ranking members not distinguished from chiefly burials; shamans buried in caves but uncertain if secret society members.,partial,1,Ceremonies held inside community houses appropriated and rearranged for purpose; no purpose-built separate ceremonial structures reported.,present,2,Candidates taken to secluded locations outside villages for seclusion; caves used for meetings and ritual storage.,present,2,Ritual paraphernalia stored in faraway locations including rock shelters and caves; secrets kept from non-initiates on pain of death.,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters emphasized as power sources; non-prey therianthropic imagery.",present,2,"Northwest Coast Interaction Sphere explicitly named; shared art styles, masks, rituals across Tsimshian, Tlingit, Kwakwakawakw, Bella Coola, Nuuchahnulth.",10
H18_006,Wolf Society (Klokwalle),Quinault,American Northwest Coast,2,complex hunter-gatherer,secret society,moderate,Olson,Hayden 2018,,False,"Society for wealthy members with possession frenzies, self-torture displays, and reputation for killing and eating people during secret ceremonies.",present,2,"Masks, costumes, dances used to assume/channel spirits; initiates die and return transformed as spirits",present,2,"Numerous feasts associated with initiations, nightly during ritual season; greatest potlatch of a man's career",present,2,"Quartz crystals, cowrie shells, copper nails, rare pelts, decorated boxes used in ritual contexts",partial,1,Ceremonies in houses; special meeting places 150-400m outside villages; caves used for seclusion/storage,present,2,"Hereditary roles, descent-based dance positions, multi-generational secret society membership and chieftly offices",unclear,-1,Burial information very limited; shamans buried in caves but uncertain if secret society members,partial,1,Houses appropriated and rearranged for ceremonies; special meeting places outside villages but no structures built there,present,2,Candidates taken to secluded locations outside villages for seclusion; caves used for meetings and ritual storage,present,2,Ritual paraphernalia stored in faraway locations including rock shelters and caves; secrets enforced by death,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters emphasized as power sources in iconography",present,2,"Northwest Coast Interaction Sphere documented; shared art styles, ritual similarities across ethnic groups; members welcomed regionally",10
H18_007,Curing Society (Tsaiyeq),Nuuchahnulth,American Northwest Coast,2,complex hunter-gatherer,secret society,moderate,"Boas, Drucker",Hayden 2018,,False,"Largely female society with healing specialization, demonstrating supernatural powers like fire handling and miraculous feather animation.",present,2,"Masks, costumes used to personify guardian spirits; initiates said to die and return transformed as spirits",present,2,Numerous feasts on nightly basis during ritual season; grandiose feasts at initiations described as greatest potlatch of career,present,2,"Quartz crystals, cowrie shells, copper nails, rare pelts, decorated boxes used in ritual contexts",present,2,"Special meeting places 150-400m outside villages; caves used for seclusion, meetings, ritual storage",present,2,Hereditary roles tied to descent groups; ancestral spirits passed to descendants; institutionalized winter ceremonial season,unclear,-1,Limited burial information; shamans buried in caves but uncertain if secret society members; burial poles for chiefs,partial,1,Community house appropriated and rearranged for ceremonies; no purpose-built structures reported at external meeting places,present,2,Candidates taken to secluded locations outside villages for seclusion; caves used for initiation and ritual storage,present,2,Ritual paraphernalia stored in faraway locations including rock shelters and caves; masks kept secret from non-initiates,present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters (sisiutl) emphasized as power sources",present,2,"Northwest Coast Interaction Sphere documented; shared art styles, ritual practices, masks across ethnic groups; members welcomed from other regions",10
H18_008,Secret Societies,Tlingit,American Northwest Coast,2,complex hunter-gatherer,secret society,thin,"Boas, de Laguna, Olson, Tollefson",Hayden 2018,,False,Present at Wrangell (Southern Tlingit) with some traces at Sitka; limited documentation possibly due to strong shamanic traditions.,present,2,"Masks, costumes, dances used to assume roles of spirits; possession by guardian spirits; cedar bark regalia worn ritually.",present,2,Feasts of best foods procured and organized; initiations described as most extravagant family expenditures; public feasts prominent.,present,2,"Quartz crystals, cowrie shells, exotic materials used in rituals; displaying objects from exotic faraway locations as demonstrations of power.",unclear,-1,Seclusion periods mentioned but specific liminal site locations not described in this excerpt.,present,2,Hereditary roles implied; winter ceremonial season recurring annually; institutionalized return across generations referenced.,partial,1,"High-ranking members sometimes given special burials near secret society facilities rather than with kin, suggesting separation.",present,2,Special structures for rituals mentioned; performances held in residential long houses; special meeting places for restricted ritual.,present,2,Weeks or months of seclusion of candidates; initiates disappeared and were secluded during initiation period.,present,2,"Ritual paraphernalia, masks, costumes kept secret from non-initiates; secrets protected by security systems and punishments.",present,2,Power animals prominent in ideologies and displays; flesh of power animals consumed; carnivore/power animal iconography central.,present,2,"Shared ritual elements between Northwest Coast, California, Plains, Ojibway groups; individuals from other regions welcomed; elements exchanged across distances.",10
H18_009,Shamans' Dance (secret society),Chinook,American Northwest Coast,2,complex hunter-gatherer,secret society,moderate,Ray,Hayden 2018,,False,"Upper-class membership with spirit quests, self-torture, fire-walking displays, and initiation costs assembled over several years.",present,2,"Masks, costumes used to assume roles of spirits; initiates said to die and return as spirits in new form.",present,2,Numerous feasts on nightly basis during ritual season; grandiose feasts at sons' initiations described as greatest potlatch of career.,present,2,"Quartz crystals, cowrie shells, copper nails, rare stones, pelts used as ritual paraphernalia in restricted contexts.",present,2,"Special meeting places 150-400 meters outside villages; caves used for seclusion, meetings, ritual storage.",present,2,Annual winter ceremonial season; hereditary roles in descent groups; institutionalized return across generations implied.,unclear,-1,Limited burial information; shamans reportedly buried in caves but uncertain if secret society members included.,partial,1,Community houses appropriated and rearranged for rituals; no purpose-built structures reported at remote meeting locations.,present,2,Initiates taken to secluded locations outside villages; caves used for seclusion; meeting places 150-400m from villages.,present,2,"Ritual paraphernalia stored in faraway locations including rock shelters and caves, kept secret from non-initiates.",present,2,"Bears, wolves, ravens, eagles, killer whales, thunderbirds, sea monsters (sisiutl) emphasized as power animals in iconography.",present,2,"Northwest Coast Interaction Sphere identified; shared art styles, ritual similarities with Ojibway and Plains groups; members welcomed from other regions.",10
H18_010,Secret Societies,Coast Salish (Sto:lo),American Northwest Coast,2,complex hunter-gatherer,secret society,thin,"Boas, Jilek, Jilek-Aall",Hayden 2018,,False,Spirit dancing societies with wealth requirements for membership and dangerous unregulated power attributed to initiates.,present,2,Masks and costumes used to assume role of spirits; dancers personify guardian spirits through disguises and possession,present,2,"Feasts of best foods procured, prepared, organized; initiations described as most extravagant family expenditures",present,2,"Quartz crystals, cowrie shells, exotic materials used in ritual; unusual materials procured for performances",unclear,-1,Text mentions ritual locations and seclusion periods but no specific liminal site types described for Coast Salish,partial,1,Winter ceremonial season institutionalized; hereditary roles implied but multi-generational architectural maintenance not specified,partial,1,"High-ranking members sometimes given special burials near secret society facilities or remote locations, not with kin",present,2,Special structures built for public displays and performances; restricted ritual meeting places for hierarchy mentioned,present,2,Weeks or months of seclusion of candidates mentioned; initiates disappeared from ritual gathering to secluded locations,present,2,"Masks, elaborate costumes, ritual paraphernalia kept secret from non-initiates; cedar bark badges stored between ceremonies",present,2,Power animals prominent in ideologies and displays; flesh of power animals used as special foods demonstrating supernatural power,present,2,Regional interactions noted; individuals from other villages welcomed; ritual elements exchanged across Northwest Coast and beyond,10
